id,order_date,product,sales_price,quantity,department,store,city,district,customer,sex,age_group,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,e4a7f3a7-0cf7-44bb-8c86-b15b89f93406,99,1,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,0c995c04-0217-4887-963b-7a184eae110e,45,1,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,f8a75c52-b6ab-41ae-ae70-c81a7b6ef83d,79,2,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,813727be-d8a7-4cff-be18-eb9925bef9ef,99,2,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,3f35f872-0ae2-4c63-b87b-30209fd4db0b,18,4,451ffc74-a780-4ae0-adba-ff8caa8f4b91,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,6c47bdfc-db3a-4c59-99c1-4e33c8460436,59,2,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,bf86ed4f-5ca9-42a6-b0c2-2630c6d7b781,45,2,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,75c84de2-352b-4cd4-a14f-ced82b0ac7d9,110,1,451ffc74-a780-4ae0-adba-ff8caa8f4b91,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,f82164d5-704f-4c03-a2ae-2100b8807d58,25,2,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
a9a35c16-433c-47a3-a965-5a354b51142c,2020/7/17 10:13,75a2ab02-1d07-450d-9e76-91b53d361ba7,45,1,c556530b-d0a9-4beb-bc19-7044962f9aa8,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,00113cb1-293b-4c73-8844-4ca901c819ab,,3,,,
