id,order_date,product_name,product,sales_price,quantity,department,store,city,district,customer,sex,age_group
4dd5ac40-a1b3-43a2-be16-aa1392a4fde0,2021/6/10 22:57,絲花極柔化妝棉66片,003dc937-e898-4259-870a-4a9afe2eacd6,96,2,22f2e7c7-6679-41fd-9c1d-6e9562b51bce,aad5ef5c-11f4-43d9-8506-19cfacfa8fc2,4b52005f-878a-4b2b-95ee-d9e2d719046a,23ab2965-ecd8-4bb2-933f-424b1f984d39,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
181be294-2190-47db-bab6-519f76ccf681,2021/5/27 2:42,光泉茉莉茶園蘋果紅茶-250ml,004e97ea-3847-4b71-9b6d-380fbc2067bd,48,1,f57143f5-672f-4c78-89f1-242f7a2d8a65,aad5ef5c-11f4-43d9-8506-19cfacfa8fc2,4b52005f-878a-4b2b-95ee-d9e2d719046a,23ab2965-ecd8-4bb2-933f-424b1f984d39,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
4ec0b688-36e0-4018-99fa-045f6ca1e3cf,2021/9/9 23:16,光泉茉莉茶園蘋果紅茶-250ml,004e97ea-3847-4b71-9b6d-380fbc2067bd,48,1,f57143f5-672f-4c78-89f1-242f7a2d8a65,f2d064b2-a928-48aa-be83-a5b3bfc02f41,db83dcc1-85c9-44f9-a047-426b02e8e1a3,b611c86e-0693-41bb-98d4-6de1b4a837f5,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
11d772a7-5a16-4e87-8ac2-0c438b1ada18,2021/7/2 9:56,新東陽雪花金錢豬肉乾,00818a2f-857a-402e-97e5-fed82eb24f50,139,1,f57143f5-672f-4c78-89f1-242f7a2d8a65,73869acb-3d56-4375-9ba2-afe2bb3c2bf5,0ced232a-ba28-4238-8411-264c228aa751,9aa7200e-ff9f-42e4-b635-b021e6075b7e,00a0c55f-1f16-4475-a7a3-82c5dd6c0ff4,,4
a9174342-0889-4d43-b111-d604c05b28ee,2020/11/21 14:35,義美天然取向蘇打餅乾(紫菜),00c7a05e-aa41-47de-9bda-ee24f3cb224f,71,1,f57143f5-672f-4c78-89f1-242f7a2d8a65,49171894-8056-4ffb-9242-472997c4b865,db83dcc1-85c9-44f9-a047-426b02e8e1a3,339fb39c-3a2b-45da-b036-8e2d7761c4b3,0053e832-3011-4464-9157-955cd5b1fb76,,4
2a673299-e93a-48b3-95c1-722dc500df3b,2020/11/30 22:51,義美天然取向蘇打餅乾(紫菜),00c7a05e-aa41-47de-9bda-ee24f3cb224f,71,2,f57143f5-672f-4c78-89f1-242f7a2d8a65,49171894-8056-4ffb-9242-472997c4b865,db83dcc1-85c9-44f9-a047-426b02e8e1a3,339fb39c-3a2b-45da-b036-8e2d7761c4b3,0053e832-3011-4464-9157-955cd5b1fb76,,4
bf117cb1-ac44-41b2-b6e4-dbae87f8edbe,2020/10/11 22:30,義美天然取向蘇打餅乾(紫菜),00c7a05e-aa41-47de-9bda-ee24f3cb224f,71,2,f57143f5-672f-4c78-89f1-242f7a2d8a65,f75c7c64-a007-4eda-96e2-0fc698e2538f,827e9e3a-30c8-40d0-8241-56773e6d8d9b,d74941ae-b914-4cd1-9b77-7fcf897bee49,020457be-42c6-4074-b15c-ddae166d297a,,4
8335c985-98d7-42f2-abb3-99e057f8f93b,2021/6/17 0:13,春風抽取式衛生紙優質經濟包-100PC,04971b9d-7d9d-47eb-8997-90bdb4404599,88,1,a6d41062-6792-4b0b-9e2a-a8c25ffffc18,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
1ea71713-8cbf-4726-8a3b-58372872e37c,2021/6/16 23:39,春風抽取式衛生紙優質經濟包-100PC,04971b9d-7d9d-47eb-8997-90bdb4404599,88,1,a6d41062-6792-4b0b-9e2a-a8c25ffffc18,f37bf176-2d90-4ab8-b35d-b5c357524ab9,827e9e3a-30c8-40d0-8241-56773e6d8d9b,2acc1da9-1c69-40c5-9f4d-8ca02cedc56f,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
bcbf1a60-76f8-4768-a3ab-bb3ad8aee1fd,2021/5/12 16:11,原味巡禮老滷豆干-蒜茸豆絲,0537cb0c-987d-4e69-a54e-41bc691cecb3,39,1,f57143f5-672f-4c78-89f1-242f7a2d8a65,aad5ef5c-11f4-43d9-8506-19cfacfa8fc2,4b52005f-878a-4b2b-95ee-d9e2d719046a,23ab2965-ecd8-4bb2-933f-424b1f984d39,01e377d9-2b83-4c9f-96ba-ed468c510eb3,,5
